Indiv,Sire,Dam,Sex,Breed,Born,BV
276000891702238,NA,276000890146836,female,Hinterwaelder,2002,1.177745311887
276000802851175,276000803622472,276000802825222,female,Hinterwaelder,1972,-1.07327853067335
276000802898596,276000802875517,276000802851175,male,Hinterwaelder,1982,-1.26223058689781
276000890462469,NA,NA,female,Hinterwaelder,2000,1.40418891093856
276000890254605,NA,NA,female,unbek0,NA,NA
276000812688839,276000811902891,276000808406638,female,Hinterwaelder,2004,0.339917370372686
276000810331580,276000808336829,276000802947603,female,Hinterwaelder,1996,0.0838047117936866
276000802924244,276000802907903,276000802907865,male,Hinterwaelder,1988,-0.68514145623037
276000802825166,276000800000707,NA,female,Hinterwaelder,1963,-1.73213044040557
276000891257526,NA,276000891257521,female,Hinterwaelder,1999,0.403133646563218
276000890883673,NA,276000890109678,female,Hinterwaelder,2000,1.0790130850102
276000891885825,276000811903472,276000811596619,female,Hinterwaelder,2003,0.384015905629037
276000890590901,NA,NA,female,Hinterwaelder,1997,0.927838911286345
276000891819148,NA,276000890628344,female,Hinterwaelder,2004,1.33346354135234
276000810950992,NA,276000808403133,female,Hinterwaelder,1998,0.689494028490568
276000891458441,NA,276000810958300,female,Hinterwaelder,2001,0.893587581126852
276000812688917,276000811902826,276000811287374,female,Hinterwaelder,2003,0.155889369275107
276000891471216,NA,276000890257605,female,Hinterwaelder,2002,1.3166401044824
276000812346741,276000811288068,276000811158167,female,Hinterwaelder,2002,0.741737367281355
276000811483443,276000810331698,276000890778728,female,Hinterwaelder,1999,0.558753284138294
276000891353700,NA,276000890654800,female,Hinterwaelder,2003,0.882832565829169
276000891326894,NA,276000811043902,female,Hinterwaelder,2001,0.663888040222303
276000812346906,276000811596233,276000802922991,male,Hinterwaelder,2002,0.104043860232554
276000802422518,NA,NA,female,unbek0,NA,NA
276000810332953,276000808336910,276000802922710,female,Hinterwaelder,1996,-0.316422795210564
276000812579886,276000810958214,276000810331491,female,Hinterwaelder,2004,0.00554106050609669
276000892016591,NA,276000810958684,female,Hinterwaelder,2004,1.17219769600365
276000891709183,NA,276000891198523,female,Hinterwaelder,2003,1.1730941294272
276000890778362,NA,NA,female,Hinterwaelder,1993,0.473658504950974
276000890190841,NA,NA,female,unbek0,NA,NA
276000813025169,276000810958214,276000802922816,female,Hinterwaelder,2005,0.585805983053939
276000802422353,NA,NA,female,Hinterwaelder,1964,-2.79286746191065
276000891304319,NA,NA,female,Hinterwaelder,2001,0.8963920129385
276000813369012,276000812202159,276000811902952,female,Hinterwaelder,2006,1.0853019122889
276000802947241,NA,NA,female,Hinterwaelder,1990,0.361920834228983
276000892271903,NA,276000890840066,female,Hinterwaelder,2007,1.2893334423052
276000890212065,NA,NA,female,Hinterwaelder,1998,1.29398411742573
276000813230845,276000810331818,276000891560334,male,Hinterwaelder,2005,1.21121717394026
276000891808988,NA,276000890858057,female,Hinterwaelder,2003,1.70529888735504
276000890591920,NA,NA,female,unbek0,NA,NA
276000802944060,NA,276000802903782,female,Hinterwaelder,1992,0.343404418741039
276000813368957,276000812749549,276000808406528,male,Hinterwaelder,2006,0.656896177097454
276000802420691,276000802060524,NA,female,Hinterwaelder,1956,-1.63277806873184
276000892203244,NA,276000891580844,female,Hinterwaelder,2005,1.1931383021799
276000812202071,276000810957909,276000811158163,female,Hinterwaelder,2001,-0.0486866904643291
276000802423572,276000803611182,276000802420201,female,Hinterwaelder,1966,-1.80217080948198
276000890122511,NA,NA,female,Hinterwaelder,1995,0.530874863709694
276000802918822,276000802908714,276000802884338,female,Hinterwaelder,1987,-0.762401269164835
276000808569042,NA,NA,female,Hinterwaelder,1994,0.829685222255599
276000810331459,276000802940718,276000802940717,female,Hinterwaelder,1996,-0.375485279684348
276000891489224,NA,276000890761936,female,Hinterwaelder,2002,1.13605381969048
276000808336857,276000802938201,276000802938482,female,Hinterwaelder,1994,-0.137302419556585
276000813609151,276000808336829,276000812201875,male,Hinterwaelder,2006,0.621873845808768
276000812395454,276000811597084,276000811749036,female,Hinterwaelder,2003,0.492842626020297
276000802922821,276000802938195,276000802918459,female,Hinterwaelder,1994,-0.111794882585885
276000810087734,276000802940396,276000802938001,female,Hinterwaelder,1996,-0.340036882049538
276000802425343,NA,NA,female,Hinterwaelder,1968,-2.51971797216438
276000810068004,276000802947801,276000808569041,female,Hinterwaelder,1996,0.828030846428387
276000802947257,NA,NA,female,Hinterwaelder,1991,0.442095018742209
276000890165726,NA,NA,female,Hinterwaelder,1995,0.757858694784255
276000811145931,276000810037971,276000810332391,female,Hinterwaelder,1998,-0.576945448307483
276000813024788,276000802883751,276000812346792,female,Hinterwaelder,2004,0.106373577529513
276000808591094,276000802940715,276000802925775,female,Hinterwaelder,1995,-0.0602135696905238
276000892242012,NA,276000891471209,female,Hinterwaelder,2006,0.834966226732653
276000812346715,276000811596040,276000811287166,female,Hinterwaelder,2002,1.40820701465365
276000892303837,NA,276000812177426,female,Hinterwaelder,2007,1.15268334341937
276000811023979,NA,276000802925411,female,Hinterwaelder,2001,0.374097857051323
276000813256060,276000812346697,276000810331877,female,Hinterwaelder,2005,0.707849472860343
276000890810155,NA,276000890154926,female,Hinterwaelder,1999,0.562105647691493
276000802428379,NA,276000802427292,female,Hinterwaelder,1973,-1.26437023311277
276000802428834,NA,NA,female,Hinterwaelder,1971,-1.15246406308099
276000810748333,276000808337143,276000802918888,female,Hinterwaelder,1997,-0.176121299415081
276000810958300,276000810331824,276000810087114,female,Hinterwaelder,1999,0.49628634552213
276000890133318,NA,276000890133311,female,Hinterwaelder,1996,0.667902548086992
276000802907892,276000802908126,276000802428897,female,Hinterwaelder,1985,-0.770413023647872
276000890821915,NA,NA,female,Hinterwaelder,1995,0.95547797439622
276000890088866,NA,NA,female,Hinterwaelder,1997,0.549654512105521
276000891223023,NA,NA,female,Hinterwaelder,1989,-0.196656477774697
276000802420284,276000802060573,NA,female,Hinterwaelder,1960,-2.93607001183454
276000802918633,276000802908490,276000802898521,female,Hinterwaelder,1986,-1.10781950642684
276000802422318,276000803611146,276000802420284,female,Hinterwaelder,1964,-1.15308084381632
276000890168134,NA,276000890168139,female,Hinterwaelder,1996,0.309030971679296
276000891197772,NA,NA,female,Hinterwaelder,1989,-0.0410275912994328
276000891137491,NA,NA,female,Hinterwaelder,1997,0.19798197031316
276000802932740,276000802925534,276000802925026,female,Hinterwaelder,1990,0.399440789156181
276000802925591,276000802918275,276000802918062,female,Hinterwaelder,1988,-0.534866830251583
276000802898899,276000802884099,276000802898175,female,Hinterwaelder,1982,-0.196051118723786
276000810958002,276000808337143,276000802922692,female,Hinterwaelder,1998,0.0775021748751124
276000802907893,276000802898282,276000802427231,female,Hinterwaelder,1985,-1.15212168696436
276000891922964,NA,276000810958599,female,Hinterwaelder,2004,0.890648690711706
276000808567728,NA,NA,female,Hinterwaelder,1994,0.460777597711716
276000802925482,276000802908591,276000802908796,female,Hinterwaelder,1988,-0.527671586592063
276000802938200,276000802925687,276000802918090,male,Hinterwaelder,1991,-0.10017199224532
276000802428221,276000803611312,276000802420244,female,Hinterwaelder,1973,-2.06965602674045
276000812721684,276000812698734,276000812881175,female,Hinterwaelder,2007,1.35603117685661
276000813369069,276000811903006,276000810331632,male,Hinterwaelder,2006,0.292870527204846
276000891763038,NA,276000891658064,female,Hinterwaelder,2004,1.75991244290959
276000891078293,NA,NA,female,Hinterwaelder,1999,1.07419512592873
276000891396340,NA,276000802922831,female,Hinterwaelder,2002,0.902055717918985
276000891309208,NA,276000890094062,female,Hinterwaelder,2001,0.830336978594784
276000892340610,276000891995530,276000892016593,female,Hinterwaelder,2008,1.15719215873536
276000802875002,276000803622445,276000802427323,male,Hinterwaelder,1976,-0.905489745846633
276000802875400,276000802865517,276000802427260,female,Hinterwaelder,1977,-0.908520962574517
276000890390377,NA,276000890390371,female,Hinterwaelder,1995,0.691287714837902
276000890699491,NA,NA,female,Hinterwaelder,1996,0.529436428953155
276000810958224,276000810087663,276000810331834,female,Hinterwaelder,1999,0.0674138082355671
276000813024773,276000812201831,276000810331572,male,Hinterwaelder,2004,0.357471123346397
276000802947904,276000802932409,276000802932768,male,Hinterwaelder,1994,-0.559112136944006
276000891601472,NA,276000810331423,female,Hinterwaelder,2001,0.699521325400163
276000890743088,NA,276000890318706,female,Hinterwaelder,2000,0.970127571951967
276000891119264,276000811315034,276000810332258,female,Hinterwaelder,2001,0.624541813436822
276000891858290,NA,276000891538401,male,Hinterwaelder,2005,0.840784872758866
276000890958708,NA,276000808591079,female,Hinterwaelder,1998,0.109733073677717
276000802423882,276000803611220,276000802422600,female,Hinterwaelder,1966,-2.24003168412725
276000802922479,276000802918105,276000802940303,female,Hinterwaelder,1994,-0.176602984082629
276000802925268,276000802918275,276000802883792,female,Hinterwaelder,1988,-0.944933040573493
276000810958881,276000808519286,276000802932482,female,Hinterwaelder,1998,-0.264583841323193
276000810957798,276000808591101,276000808337024,female,Hinterwaelder,1998,-0.385459841423234
276000890773223,NA,NA,female,Hinterwaelder,1994,0.237436987693586
276000800000622,NA,NA,male,Fleckvieh,1950,-1.92989745032337
276000892501717,276000812496847,276000890699491,female,Hinterwaelder,2008,1.15367378201553
276000892176019,NA,276000891238551,female,Hinterwaelder,2006,1.27088022000689
7600033791,7600098046,7602875549,male,Hinterwaelder,1987,0.0447602912353283
276000802857207,NA,NA,male,Vorderwaelder,1973,-0.575853616624711
276000803622450,276000802829838,276000802420751,male,Hinterwaelder,1973,-0.919767261267582
276000811461607,276000810748375,276000810087945,male,Hinterwaelder,2000,0.326328619441281
276000892121304,NA,276000892121292,female,Hinterwaelder,2007,1.37896179596759
276000802898025,276000802875194,276000802862816,female,Hinterwaelder,1980,-1.38134507477139
276000810331147,276000802947493,276000802932361,male,Hinterwaelder,1997,0.279087436896762
276000891545390,NA,276000890251449,female,Hinterwaelder,2001,1.17777118865715
276000802947018,276000802932435,276000802938094,female,Hinterwaelder,1992,0.0658000466057121
276000891862714,276000811596097,276000802940609,female,Hinterwaelder,2003,0.717591080219662
276000802925763,276000802918444,276000802925748,female,Hinterwaelder,1988,-0.195131902700755
276000890604916,NA,NA,female,unbek0,NA,NA
276000891862713,276000811596097,276000890089706,female,Hinterwaelder,2003,0.755321890602692
276000890818814,NA,NA,female,Hinterwaelder,1997,0.860871769869352
276000813533567,276000891618444,276000813025180,female,Hinterwaelder,2008,0.563973710797293
276000812750209,276000808336829,276000810748496,female,Hinterwaelder,2005,0.756053675784078
276000890835905,NA,NA,female,Hinterwaelder,1994,0.506559325602684
276000813533565,276000891618444,276000891618439,male,Hinterwaelder,2007,0.731823686770027
276000810884197,NA,NA,female,Hinterwaelder,1992,0.443125723765735
276000802946200,276000802932959,276000802908600,female,Hinterwaelder,1994,0.422256475623187
276000891735003,NA,276000891235464,female,Hinterwaelder,2003,1.09718908763037
276000892111810,NA,276000891545387,female,Hinterwaelder,2005,1.59116259345918
276000811287374,276000810331368,276000808336844,female,Hinterwaelder,1999,0.0940762851464618
276000802947750,NA,NA,female,Hinterwaelder,1991,0.717095325337441
276000812749603,276000811595894,276000811902758,female,Hinterwaelder,2003,0.0150349491046116
276000808566744,NA,NA,female,Hinterwaelder,1987,0.623267245769238
276000802940641,NA,NA,female,Hinterwaelder,1989,0.0726839974432533
276000802865785,276000803622445,276000802426391,male,Hinterwaelder,1975,-1.01320973428576
276000802925670,276000802918444,276000802884157,female,Hinterwaelder,1988,-0.204177483492987
276000813861015,276000812497659,276000811749036,female,Hinterwaelder,2008,0.320320742062235
276000802908661,NA,NA,female,Hinterwaelder,1982,0.0505009830744358
276000813609320,276000812749583,276000810332263,female,Hinterwaelder,2007,0.452813354027522
276000891730213,NA,276000890850566,female,Hinterwaelder,2002,1.42566502771144
276000802422567,276000803611144,276000802420315,female,Hinterwaelder,1963,-2.49369633798031
276000802907962,276000802898113,276000802425292,female,Hinterwaelder,1985,-0.932311339943434
276000890772942,NA,NA,female,Hinterwaelder,1994,0.578813681786405
276000812922498,276000811902819,276000810958405,female,Hinterwaelder,2004,-0.257389029968761
276000891740647,NA,276000891184626,female,Hinterwaelder,2004,1.23922881938214
276000891572393,NA,NA,female,Hinterwaelder,2003,1.42920882191328
276000811464402,NA,NA,female,Vorderwaelder,2000,1.15764193085217
276000890699510,NA,NA,female,Hinterwaelder,1992,0.759080037533262
276000811287147,276000802938370,276000810087443,female,Hinterwaelder,1999,0.235282175202786
276000892078626,276000812688925,276000812346751,female,Hinterwaelder,2005,0.612588539723179
276000803611222,276000803611162,276000802820114,male,Hinterwaelder,1964,-0.972624435117501
276000810248618,276000802932958,276000890264901,female,Hinterwaelder,1997,0.199861724085961
276000802422375,276000803611169,276000802420574,female,Hinterwaelder,1964,-1.80095662003031
276000892196559,NA,276000891432156,female,Hinterwaelder,2006,1.42776590334927
276000812818727,276000812347462,276000810717945,female,Hinterwaelder,2004,0.499990127293492
276000802924959,276000802925899,276000802918057,female,Hinterwaelder,1991,-0.543590095075181
276000812395451,276000811597084,276000802922479,female,Hinterwaelder,2003,0.269063937591732
276000813270764,276000811903647,276000811287213,female,Hinterwaelder,2005,0.590295883156007
276000802938386,276000802925727,276000802925128,female,Hinterwaelder,1991,-0.0927329090756103
276000890645526,NA,NA,female,Hinterwaelder,1995,0.546236209090102
276000812347474,276000811595967,276000802932369,male,Hinterwaelder,2002,0.463262131647312
276000802918159,NA,NA,female,Hinterwaelder,1971,-0.400815402269123
276000891565402,NA,276000890005787,female,Hinterwaelder,2001,0.959395546270804
276000813753664,276000808336829,276000812346929,female,Hinterwaelder,2007,0.332359681584
276000802908072,276000802898056,276000802875507,female,Hinterwaelder,1983,-0.962955679251146
276000891861538,NA,276000890732448,female,Hinterwaelder,2004,1.1457543925291
276000813533521,276000891466354,276000811902879,female,Hinterwaelder,2006,0.330442660390493
276000890834941,NA,NA,female,Hinterwaelder,1998,0.98739421903234
276000813963376,276000811903592,276000810327494,female,Hinterwaelder,2007,0.252319837879254
276000802922972,276000802940290,NA,female,Hinterwaelder,1994,0.243938008035627
276000812749855,276000812202159,276000811596024,female,Hinterwaelder,2004,0.231479751397947
276000891388664,NA,276000890002391,female,Hinterwaelder,2001,1.19469519825273
276000802925770,NA,NA,female,Hinterwaelder,1987,-0.157993344640769
276000891123724,NA,276000890727019,female,Hinterwaelder,2000,0.636923459772823
276000891898298,NA,276000811597080,female,Hinterwaelder,2004,0.820764593283047
276000813550053,276000891466360,276000812922536,male,Hinterwaelder,2007,0.920502937715869
276000812689289,276000811595843,276000811288154,female,Hinterwaelder,2003,0.264605408328211
276000802908503,276000802898244,276000802883742,male,Hinterwaelder,1984,-0.206205586625805
276000802820114,276000803611134,276000802820109,female,Hinterwaelder,1962,-1.33548524497426
276000802947394,276000802925782,276000802907845,female,Hinterwaelder,1993,0.00122466635741761
276000803622413,276000803622403,276000802420196,male,Hinterwaelder,1973,-1.27727784278038
276002264809244,7600033791,276000802908730,female,Hinterwaelder,1991,-0.0865301203187588
276000813609304,276000812346843,276000811596617,female,Hinterwaelder,2006,0.488091572048591
276000892055101,NA,276000811596668,female,Hinterwaelder,2004,0.949565962597738
276000808519362,276000802940243,276000802932640,female,Hinterwaelder,1995,-0.538347059622817
276000802947933,NA,NA,female,Hinterwaelder,1993,0.263403979978676
276000802420309,NA,NA,female,Hinterwaelder,1956,-2.5035600932303
276000890614926,NA,NA,female,Hinterwaelder,1999,0.721453050382341
276000890744163,NA,NA,female,unbek0,NA,NA
276000813838929,276000811082118,276000812347483,female,Hinterwaelder,2008,0.0283229065392992
276000808567765,NA,NA,female,Hinterwaelder,1993,0.699520732280409
276000802883666,276000802429359,276000802425029,male,Hinterwaelder,1977,-1.56063576598318
276000802934005,NA,276000802934002,female,Hinterwaelder,1993,-0.087343544364606
276000808406635,NA,NA,female,Hinterwaelder,1994,0.280150778850129
276000891665122,NA,276000890815273,female,Hinterwaelder,2002,0.766576330068726
276000890699492,NA,NA,female,Hinterwaelder,1996,0.535623765098388
276000812688888,276000811903647,276000802925448,female,Hinterwaelder,2003,0.597866713697721
276000891132195,276000810332347,276000808337230,female,Hinterwaelder,1999,0.879239226878642
276000811287166,276000808406738,276000802925763,female,Hinterwaelder,1999,-0.0736485121168801
276000802908786,276000802898244,276000802884194,male,Hinterwaelder,1985,-0.613574862106466
276000812497008,276000811902826,276000808567716,female,Hinterwaelder,2003,0.251652030705576
276000891855567,NA,276000811063893,female,Hinterwaelder,2004,0.87063488691729
276000891246626,NA,NA,female,Hinterwaelder,1995,0.272914982471825
276000891829820,NA,276000890596321,female,Hinterwaelder,2004,1.88567133771554
276000891282601,NA,276000810048592,female,Hinterwaelder,1998,0.553994945887555
276000810332654,276000802947682,276000802922780,female,Hinterwaelder,1996,-0.312932915059063
276000890794084,NA,NA,female,Hinterwaelder,1994,0.625866677930341
276000892086852,NA,276000812749637,female,Hinterwaelder,2006,1.13319854409069
276000810748711,276000802947682,276000802918653,female,Hinterwaelder,1997,-0.0438575678807769
276000802922876,276000802940243,276000802932415,female,Hinterwaelder,1994,-0.118691387670796
276000802427260,276000803611256,276000802424006,female,Hinterwaelder,1970,-1.63240375516091
276000890391399,NA,NA,female,Hinterwaelder,1997,-0.232052335639556
276000802947360,276000802932848,276000802932597,female,Hinterwaelder,1993,0.117311977813923
276000811903052,276000811287380,276000802947076,female,Hinterwaelder,2001,0.695269908404356
276000810087968,NA,NA,female,Hinterwaelder,1993,0.850957076986505
276000802490894,276000802924564,276000802932540,female,Hinterwaelder,1993,0.314381711984333
276000802925335,276000802908591,276000802884551,female,Hinterwaelder,1988,-0.272126540849781
276000802918817,276000802908503,276000802883710,female,Hinterwaelder,1987,-0.457621488968719
276000890308843,NA,NA,female,Hinterwaelder,1996,0.763100613822544
276000802898992,276000802884158,276000802898376,female,Hinterwaelder,1983,-0.598248239785157
276000811152015,276000802932958,276000802982942,female,Hinterwaelder,1998,0.0286657011251718
276000802424769,276000802423216,NA,female,Hinterwaelder,1967,-2.23732341186435
276000813025374,276000811596240,276000810958944,female,Hinterwaelder,2005,0.744673663807915
276000890155081,NA,NA,female,unbek0,NA,NA
276000811903534,276000811044151,276000810748463,female,Hinterwaelder,2001,-0.0375304069807977
276000892114288,NA,276000891000610,female,Hinterwaelder,2007,1.07751985155988
276000808406504,NA,NA,female,Hinterwaelder,1994,0.512775437632514
276000802422436,NA,NA,female,Hinterwaelder,1965,-1.993377578447
276000811288159,276000811595843,276000802940437,female,Hinterwaelder,2002,0.711512818163431
276000802422312,276000803611176,276000802420346,female,Hinterwaelder,1964,-2.23797628815291
276000802940637,276000802932039,276000802907824,female,Hinterwaelder,1992,-0.150832746712615
276000890883406,NA,276000890438242,female,Hinterwaelder,2000,0.623658804781665
276000892139072,NA,276000891588452,female,Hinterwaelder,2005,0.895184462821391
276000812051260,NA,276000811052972,female,Hinterwaelder,2002,0.933942242652649
276000890045721,NA,NA,female,Hinterwaelder,1996,0.735340070974627
276000890828272,NA,NA,female,unbek0,NA,NA
276000891819150,NA,276000810087995,female,Hinterwaelder,2005,0.792882047551149
276000812497654,276000811288187,276000802947640,female,Hinterwaelder,2003,-0.229375424092063
276000802422232,NA,NA,female,Hinterwaelder,1963,-2.51778876616101
276000890839084,NA,NA,female,Hinterwaelder,1998,1.03991413040088
276000813852381,276000812750190,276000813024779,male,Hinterwaelder,2007,0.149838158737388
276000802837377,276000803611240,276000802820117,female,Hinterwaelder,1969,-1.46688393387729
276000802420259,NA,NA,female,Hinterwaelder,1960,-3.05718605790878
276000890759565,NA,NA,female,unbek0,NA,NA
276000802907992,276000802898113,276000802426336,female,Hinterwaelder,1985,-0.360855818362453
276000811288128,276000810748471,276000802938108,female,Hinterwaelder,2000,0.699218343314859
276000802947426,276000802932959,276000802947425,female,Hinterwaelder,1993,0.314448743802221
276000891862758,NA,276000891862753,male,Hinterwaelder,2006,1.18737092340739
276000811903069,276000811287380,276000810748333,female,Hinterwaelder,2002,0.0439634813461831
276000891875979,NA,276000891716793,female,Hinterwaelder,2006,1.48396040471965
276000811903953,276000810958202,276000810332920,female,Hinterwaelder,2001,0.257238345871774
276000813550051,276000812749837,276000811596709,female,Hinterwaelder,2006,0.67242584707841
276000812688985,276000811902819,276000811287619,male,Hinterwaelder,2003,0.108249381510986
276000802420409,NA,NA,female,Hinterwaelder,1951,-3.37242474494269
276000891697656,NA,276000890502231,female,Hinterwaelder,2002,1.20029740716172
276000812666301,NA,276000890462463,female,Hinterwaelder,2004,0.762606851834568
276000811157960,276000810087663,276000808519325,female,Hinterwaelder,1999,-0.179736696249661
276000811596870,276000811286958,276000810332646,female,Hinterwaelder,2002,0.0616530403794579
276000802898909,276000802883897,276000802426336,female,Hinterwaelder,1982,-1.10325762527991
276000802947050,276000802932785,276000802925410,male,Hinterwaelder,1992,0.172279636992973
276000892106033,NA,276000891327153,female,Hinterwaelder,2005,0.907905552805032
276000802425272,276000803611256,276000802420134,female,Hinterwaelder,1969,-2.13963081883657
276000890665208,NA,276000890111872,female,Hinterwaelder,1998,0.347218811534837
276000802427252,NA,NA,female,Hinterwaelder,1969,-2.59101440691073
276000811288150,276000810957933,276000810332953,female,Hinterwaelder,2000,0.294353162962694
276000802875048,276000803622440,276000802422457,male,Hinterwaelder,1976,-0.855215716166029
276000808567773,NA,NA,female,Hinterwaelder,1995,1.20313605327498
276000802918336,276000802898675,276000802908746,female,Hinterwaelder,1986,-0.501676886384651
276000812689300,276000811903090,276000810087908,female,Hinterwaelder,2005,1.23858394020719
276000802903829,276000802898580,276000802893370,female,Hinterwaelder,1987,-0.230579402035556
276000890024718,NA,NA,female,Hinterwaelder,1996,0.729237523077025
276000802875041,276000803611368,276000802428551,female,Hinterwaelder,1976,-1.31456467688979
276000813677830,276000813025034,276000802922991,female,Hinterwaelder,2007,0.263893447659621
276000810087370,276000802922717,276000802932121,female,Hinterwaelder,1996,-0.282867802798009
276000813270766,276000812688988,276000811287220,female,Hinterwaelder,2005,0.518365360498026
276000802422366,276000803611153,NA,female,Hinterwaelder,1964,-1.71206527854948
276000891858826,NA,276000890088406,female,Hinterwaelder,2006,1.06591116031929
276000802875256,276000803622411,276000802426300,female,Hinterwaelder,1976,-1.41097553705935
276000802420450,NA,NA,female,Hinterwaelder,1957,-2.68433886514311
276000802907983,NA,NA,female,Hinterwaelder,1984,0.059870950099038
276000891826068,NA,276000890755223,female,Hinterwaelder,2004,1.31977057582149
276000890843056,NA,NA,female,unbek0,NA,NA
276000811286996,276000810957844,276000802947810,female,Hinterwaelder,2000,-0.0843575361816144
276000802865670,276000803611371,276000802428297,female,Hinterwaelder,1975,-1.08523913604076
276000802925346,276000802908785,276000802898546,female,Hinterwaelder,1988,-0.557432715347264
276000802898282,276000802884007,276000802875664,male,Hinterwaelder,1981,-1.11952697946083
276000891576395,NA,NA,female,Hinterwaelder,2003,1.08714324095963
276000891880061,NA,276000891217565,female,Hinterwaelder,2003,0.749206702056126
276000810087661,276000802940621,276000802938532,female,Hinterwaelder,1996,-0.0994579875279475
276000802422327,276000800000766,276000802420486,female,Hinterwaelder,1964,-1.33816132233414
276000891362255,NA,276000810328603,female,Hinterwaelder,2002,0.716654166676473
7600075498,NA,NA,male,Hinterwaelder,NA,NA
276000802947156,NA,NA,female,Hinterwaelder,1992,0.841089605394809
276000810957997,276000808337143,276000808567762,female,Hinterwaelder,1998,0.394704694698266
276000802918548,NA,NA,female,Hinterwaelder,1982,-0.225883560807988
276000812939353,276000802932958,276000810958224,male,Hinterwaelder,2005,0.10868316590238
276000800003365,NA,NA,female,unbek0,NA,NA
276000802428203,NA,NA,female,Hinterwaelder,1969,-1.75646454613206
276000802875117,276000803611368,276000802422541,female,Hinterwaelder,1976,-1.06403704211211
276000803611237,276000803611186,276000802422555,male,Hinterwaelder,1966,-1.43591829000987
